epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.319,0.88494,1.88657,1.27461,0.92488,0.90064,0.97185,0.82614,0.59736,1.12016,1.11716,0.00332789,0.00332789,0.00332789
2,554.563,0.73673,0.90679,1.12216,0.88879,0.88353,0.94257,0.79214,0.60931,0.76819,1.11616,0.00666009,0.00666009,0.00666009
3,816.618,0.76736,0.73159,1.13233,0.65312,0.35589,0.39142,0.24671,1.331,2.42894,1.84123,0.00998777,0.00998777,0.00998777
4,1083.53,0.76454,0.64652,1.12587,0.95565,0.95541,0.98141,0.86088,0.5377,0.39136,1.05472,0.00998474,0.00998474,0.00998474
5,1345.21,0.71576,0.54961,1.09695,0.83304,0.89212,0.95467,0.84031,0.51179,0.62702,1.04006,0.00997288,0.00997288,0.00997288
6,1607.21,0.68168,0.5066,1.07693,0.95319,0.95228,0.99167,0.87771,0.52472,0.36609,1.03874,0.00995765,0.00995765,0.00995765
7,1868.71,0.66123,0.47495,1.06731,0.98185,0.97345,0.99023,0.89299,0.47679,0.29958,1.00324,0.00993906,0.00993906,0.00993906
8,2129.61,0.64352,0.44313,1.05854,0.97295,0.97609,0.98658,0.89468,0.48025,0.30667,1.01496,0.00991711,0.00991711,0.00991711
9,2390.34,0.62811,0.42462,1.04976,0.92096,0.92555,0.98725,0.88897,0.48987,0.43255,1.01826,0.00989183,0.00989183,0.00989183
10,2651.14,0.61138,0.4058,1.03564,0.99602,0.99105,0.99462,0.90375,0.47733,0.25229,0.99583,0.00986323,0.00986323,0.00986323
11,2912.16,0.60793,0.3986,1.03839,0.98293,0.98939,0.99305,0.91466,0.43357,0.24952,0.96194,0.00983133,0.00983133,0.00983133
12,3173.95,0.59522,0.38582,1.03113,0.99741,0.99655,0.99499,0.92141,0.4242,0.21826,0.95732,0.00979616,0.00979616,0.00979616
13,3434.9,0.58521,0.3746,1.02494,0.9922,0.99249,0.9937,0.92979,0.4116,0.2239,0.94532,0.00975773,0.00975773,0.00975773
14,3695.3,0.57642,0.3648,1.02146,0.96691,0.97067,0.99216,0.92379,0.42184,0.28004,0.95463,0.00971608,0.00971608,0.00971608
15,3955.88,0.57154,0.36353,1.02183,0.99672,0.99273,0.99458,0.93373,0.40628,0.22056,0.94707,0.00967122,0.00967122,0.00967122
16,4217.15,0.56531,0.35269,1.01439,0.99063,0.99336,0.99355,0.93324,0.40744,0.22536,0.94427,0.0096232,0.0096232,0.0096232
17,4479.12,0.55742,0.34816,1.01263,0.99467,0.99368,0.99428,0.93355,0.39954,0.21018,0.94068,0.00957205,0.00957205,0.00957205
18,4741.66,0.5517,0.3436,1.00918,0.99735,0.9973,0.99481,0.92824,0.41299,0.20205,0.94784,0.0095178,0.0095178,0.0095178
19,5003,0.54931,0.33839,1.00736,0.99464,0.99675,0.99432,0.93769,0.38949,0.20691,0.93047,0.00946048,0.00946048,0.00946048
20,5264.47,0.54157,0.33099,1.00304,0.99694,0.99593,0.99431,0.94021,0.3978,0.20985,0.93443,0.00940014,0.00940014,0.00940014
21,5525.82,0.53865,0.32766,1.00178,0.99583,0.99722,0.995,0.93744,0.39521,0.19239,0.93728,0.00933683,0.00933683,0.00933683
22,5788.23,0.53547,0.32511,0.99888,0.99751,0.99706,0.995,0.94206,0.38719,0.19084,0.92346,0.00927057,0.00927057,0.00927057
23,6049.16,0.52965,0.32209,0.99904,0.99792,0.99736,0.99497,0.94645,0.37924,0.18185,0.92224,0.00920142,0.00920142,0.00920142
24,6310.09,0.52291,0.31226,0.99306,0.99836,0.99486,0.99493,0.94624,0.37664,0.18663,0.92121,0.00912942,0.00912942,0.00912942
25,6573.05,0.51781,0.3059,0.99109,0.99828,0.99733,0.99497,0.94719,0.36973,0.17681,0.91494,0.00905463,0.00905463,0.00905463
26,6834.46,0.51404,0.30537,0.98732,0.99646,0.99675,0.99425,0.94503,0.37578,0.18159,0.91898,0.0089771,0.0089771,0.0089771
27,7095.43,0.51521,0.30916,0.99165,0.99659,0.99837,0.995,0.95153,0.36036,0.16761,0.91111,0.00889687,0.00889687,0.00889687
28,7357.03,0.51576,0.29934,0.98999,0.99665,0.9957,0.99353,0.95208,0.36272,0.18764,0.91082,0.00881401,0.00881401,0.00881401
29,7619.18,0.50612,0.29738,0.98488,0.99658,0.99593,0.99423,0.9505,0.3575,0.17686,0.90673,0.00872857,0.00872857,0.00872857
30,7885.62,0.50485,0.2966,0.98523,0.99883,0.99756,0.99451,0.95518,0.3556,0.16761,0.90478,0.0086406,0.0086406,0.0086406
31,8146.13,0.50245,0.28727,0.98414,0.99708,0.99738,0.99417,0.95284,0.35091,0.16688,0.90441,0.00855018,0.00855018,0.00855018
32,8408.85,0.50238,0.29079,0.98347,0.99894,0.99834,0.995,0.95203,0.35163,0.16059,0.9038,0.00845736,0.00845736,0.00845736
33,8668.9,0.49591,0.29162,0.98042,0.9963,0.99817,0.99439,0.95165,0.34964,0.16507,0.90066,0.0083622,0.0083622,0.0083622
