epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57638,1.11205,2.98365,1.58421,0.00334,1,0.32472,0.13028,0.66372,2.95779,1.46515,0.0001667,0.0001667,0.0001667
2,7.32236,0.72329,2.02873,1.24637,0.00338,1,0.61289,0.47979,0.5767,2.53886,1.20744,0.000349728,0.000349728,0.000349728
3,9.17002,0.69242,1.48452,1.2321,0.84764,0.91718,0.9643,0.81822,0.6284,1.59604,1.41573,0.000531358,0.000531358,0.000531358
4,10.8691,0.70566,1.22526,1.18094,0.82612,0.57628,0.742,0.48321,0.78962,2.17984,1.56448,0.000710525,0.000710525,0.000710525
5,12.5306,0.61723,1.04303,1.11159,0.80398,0.87025,0.86557,0.70329,0.72704,1.44252,1.48425,0.000886181,0.000886181,0.000886181
6,14.1883,0.606,1.01393,1.11678,0.90497,1,0.98885,0.82306,0.66505,1.02263,1.3812,0.0010573,0.0010573,0.0010573
7,15.882,0.65526,0.99319,1.11716,0.97244,0.91997,0.98929,0.843,0.61948,1.18639,1.36864,0.00122288,0.00122288,0.00122288
8,17.561,0.6195,0.9148,1.11517,0.85171,0.80572,0.88916,0.73931,0.66274,1.39112,1.41999,0.00138197,0.00138197,0.00138197
9,19.1972,0.62325,0.89678,1.10241,0.97175,0.875,0.97142,0.83334,0.62365,1.06711,1.35438,0.00153363,0.00153363,0.00153363
10,20.7884,0.65631,0.92975,1.15713,0.58566,0.70085,0.86267,0.71863,0.66217,2.18925,1.4131,0.00153854,0.00153854,0.00153854
11,22.4031,0.58354,0.82693,1.11418,0.73163,0.89583,0.91501,0.71546,0.69532,1.50325,1.39158,0.00150941,0.00150941,0.00150941
12,23.994,0.62539,0.82656,1.09587,0.98352,1,0.995,0.85847,0.64304,1.16154,1.38998,0.00147764,0.00147764,0.00147764
13,25.5834,0.59961,0.78108,1.09654,0.99014,1,0.995,0.85376,0.61308,0.9261,1.34251,0.00144335,0.00144335,0.00144335
14,27.1809,0.59072,0.74647,1.08672,0.97912,1,0.995,0.83588,0.64797,0.81944,1.35141,0.0014067,0.0014067,0.0014067
15,28.7782,0.60541,0.77792,1.09021,0.98381,1,0.995,0.8687,0.59988,1.07381,1.21253,0.00136781,0.00136781,0.00136781
16,30.38,0.62295,0.71674,1.12896,0.93688,1,0.98885,0.86662,0.52499,0.95635,1.15482,0.00132685,0.00132685,0.00132685
17,31.9726,0.64303,0.78247,1.15982,0.84121,0.91667,0.94552,0.82181,0.59828,1.13251,1.29205,0.00128398,0.00128398,0.00128398
18,33.6238,0.58409,0.69036,1.06911,0.97672,1,0.995,0.87309,0.60355,0.75622,1.24584,0.00123936,0.00123936,0.00123936
19,35.2259,0.56747,0.6445,1.08613,0.99264,1,0.995,0.92093,0.46497,0.64176,1.07547,0.00119317,0.00119317,0.00119317
20,36.8444,0.53857,0.60764,1.05687,0.99074,1,0.995,0.8562,0.61033,0.64278,1.24045,0.0011456,0.0011456,0.0011456
21,38.4888,0.54226,0.60263,1.06082,0.99328,1,0.995,0.91489,0.47603,0.54308,1.08192,0.00109683,0.00109683,0.00109683
22,40.1327,0.52028,0.57523,1.05701,0.99352,1,0.995,0.87836,0.5254,0.58013,1.11198,0.00104705,0.00104705,0.00104705
23,41.7266,0.55201,0.55812,1.06869,0.99279,1,0.995,0.83865,0.57558,0.66189,1.13502,0.000996456,0.000996456,0.000996456
24,43.3369,0.51538,0.59575,1.0389,0.98022,1,0.995,0.86887,0.55863,0.55682,1.17802,0.000945256,0.000945256,0.000945256
25,44.9323,0.52991,0.54758,1.08487,0.99278,1,0.995,0.89946,0.51169,0.49467,1.17161,0.000893648,0.000893648,0.000893648
26,46.5351,0.49502,0.5472,1.03742,0.99029,1,0.995,0.92932,0.41936,0.4485,1.0245,0.000841835,0.000841835,0.000841835
27,48.1373,0.50027,0.53487,1.05845,0.98585,1,0.995,0.9063,0.41529,0.47435,1.01813,0.000790022,0.000790022,0.000790022
28,49.792,0.51657,0.53212,1.06183,0.95889,0.99704,0.995,0.9231,0.40516,0.49001,1.01368,0.000738414,0.000738414,0.000738414
29,51.39,0.51455,0.51454,1.02464,0.99002,1,0.995,0.91877,0.42956,0.4399,1.08044,0.000687214,0.000687214,0.000687214
30,53.0015,0.46288,0.47448,1.02911,0.99421,1,0.995,0.9119,0.47234,0.44457,1.09701,0.000636625,0.000636625,0.000636625
31,54.6231,0.48642,0.49079,1.03894,0.99353,1,0.995,0.93123,0.42409,0.40156,1.00577,0.000586845,0.000586845,0.000586845
32,56.2458,0.46022,0.46137,1.0287,0.99317,1,0.995,0.93373,0.41113,0.40682,1.01723,0.000538072,0.000538072,0.000538072
33,57.8729,0.47527,0.49747,1.01953,0.99104,1,0.995,0.94453,0.39435,0.40075,0.97483,0.000490497,0.000490497,0.000490497
34,59.4768,0.51921,0.47158,1.05422,0.99337,1,0.995,0.92889,0.39982,0.37262,0.98483,0.000444309,0.000444309,0.000444309
