epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7432,0.97688,2.27948,1.23497,0.42731,0.525,0.67077,0.46771,1.14002,2.15669,1.51234,0.000548721,0.000548721,0.000548721
2,22.1587,0.79944,1.08663,1.09754,0.50959,0.52251,0.57652,0.40039,1.16818,2.13966,1.38863,0.00110139,0.00110139,0.00110139
3,30.2659,0.77834,0.95705,1.079,0.5968,0.875,0.80306,0.62872,0.8635,1.54056,1.11549,0.0016421,0.0016421,0.0016421
4,38.4438,0.77178,0.89765,1.07491,0.39842,0.825,0.48631,0.34245,0.92275,6.12248,1.11012,0.00162661,0.00162661,0.00162661
5,46.5975,0.7503,0.87636,1.08129,0.72325,0.7,0.78289,0.63393,0.67936,2.0418,0.98621,0.00159566,0.00159566,0.00159566
6,54.5624,0.67497,0.7682,1.02655,0.7482,0.88825,0.918,0.6459,0.88565,1.79083,1.09223,0.00155645,0.00155645,0.00155645
7,62.6765,0.68719,0.73784,1.03715,0.9527,0.99456,0.98523,0.80116,0.73726,1.00691,1.00387,0.00150941,0.00150941,0.00150941
8,70.693,0.6325,0.68473,1.02709,0.96976,0.975,0.99262,0.86007,0.59611,0.76878,0.93873,0.00145505,0.00145505,0.00145505
9,78.746,0.62188,0.66239,1.01352,0.95352,0.98388,0.99143,0.86489,0.60749,0.73548,0.94128,0.00139398,0.00139398,0.00139398
10,86.7604,0.59445,0.61698,1.00245,0.96652,1,0.99381,0.86906,0.57583,0.7276,0.93097,0.00132685,0.00132685,0.00132685
11,94.7643,0.62006,0.6189,1.03248,0.99266,0.95,0.99262,0.81698,0.68785,0.69501,0.97644,0.00125442,0.00125442,0.00125442
12,102.976,0.57683,0.58289,1.01961,0.94966,0.95,0.98786,0.82519,0.64407,0.72195,0.97465,0.00117746,0.00117746,0.00117746
13,110.865,0.56611,0.54948,1.01047,0.9929,1,0.995,0.80986,0.72527,0.7071,1.02613,0.00109683,0.00109683,0.00109683
14,118.953,0.55034,0.52455,0.99297,0.96815,0.975,0.98905,0.84614,0.58356,0.67172,0.9512,0.0010134,0.0010134,0.0010134
15,126.977,0.53457,0.51404,1.00192,0.99548,1,0.995,0.87801,0.54436,0.59993,0.92218,0.000928088,0.000928088,0.000928088
16,135.007,0.53758,0.48976,0.98967,0.98972,0.99866,0.995,0.85698,0.58769,0.5437,0.95858,0.000841835,0.000841835,0.000841835
17,143.131,0.51774,0.48369,0.99028,0.91758,0.97127,0.99143,0.8798,0.53024,0.66709,0.91539,0.000755582,0.000755582,0.000755582
18,151.168,0.49801,0.46757,0.97841,0.94573,0.98285,0.995,0.86905,0.57163,0.55988,0.92044,0.000670274,0.000670274,0.000670274
19,159.197,0.46842,0.45315,0.96834,0.99638,1,0.995,0.86993,0.57429,0.50626,0.93385,0.000586845,0.000586845,0.000586845
20,167.364,0.47322,0.4634,0.98542,0.99544,1,0.995,0.87449,0.52989,0.51073,0.91818,0.00050621,0.00050621,0.00050621
21,181.344,0.53748,0.71514,0.94734,0.97902,0.9971,0.995,0.88958,0.50825,0.51877,0.91859,0.000429253,0.000429253,0.000429253
22,189.409,0.50738,0.57668,0.91953,0.99526,1,0.995,0.90716,0.50507,0.46887,0.91315,0.000356815,0.000356815,0.000356815
23,197.323,0.48846,0.50112,0.91198,0.99574,1,0.995,0.89429,0.48811,0.4551,0.90307,0.000289692,0.000289692,0.000289692
24,205.414,0.4714,0.45931,0.88771,0.99707,1,0.995,0.90918,0.45225,0.44499,0.894,0.000228618,0.000228618,0.000228618
25,213.471,0.44226,0.44865,0.88638,0.99719,1,0.995,0.90683,0.46837,0.41652,0.89768,0.000174262,0.000174262,0.000174262
26,221.432,0.42568,0.42979,0.87737,0.9968,1,0.995,0.92097,0.44751,0.41352,0.89617,0.000127221,0.000127221,0.000127221
27,229.352,0.41202,0.40633,0.87742,0.99693,1,0.995,0.92493,0.42188,0.38782,0.88776,8.80093e-05,8.80093e-05,8.80093e-05
28,237.379,0.40759,0.41159,0.88376,0.99696,1,0.995,0.91733,0.42978,0.38404,0.88587,5.70564e-05,5.70564e-05,5.70564e-05
29,245.292,0.40482,0.39804,0.87444,0.99685,1,0.995,0.91649,0.42646,0.38052,0.88563,3.47018e-05,3.47018e-05,3.47018e-05
30,253.246,0.3926,0.40212,0.87289,0.99664,1,0.995,0.91371,0.4211,0.37702,0.88531,2.11903e-05,2.11903e-05,2.11903e-05
