epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.823,0.88871,1.85589,1.28611,0.68081,0.64541,0.6688,0.51353,0.74414,2.13839,1.27942,0.0033278,0.0033278,0.0033278
2,565.518,0.73263,0.89497,1.12554,0.86533,0.57214,0.6593,0.48444,1.19536,1.82345,1.66885,0.00666063,0.00666063,0.00666063
3,832.736,0.7693,0.72692,1.13797,0.95684,0.95405,0.98347,0.80769,0.71191,0.53118,1.22495,0.00999145,0.00999145,0.00999145
4,1088.86,0.76643,0.64675,1.13404,0.92485,0.93393,0.96996,0.83784,0.56526,0.49056,1.08233,0.00999322,0.00999322,0.00999322
5,1344.71,0.71963,0.54809,1.10329,0.80177,0.85912,0.93623,0.80397,0.56376,0.76101,1.08142,0.00998794,0.00998794,0.00998794
6,1602.07,0.69117,0.501,1.09044,0.967,0.97453,0.99106,0.87788,0.51232,0.32784,1.04371,0.00998116,0.00998116,0.00998116
7,1859.37,0.66405,0.46244,1.07616,0.95934,0.93333,0.98701,0.89327,0.48029,0.38002,1.01083,0.00997288,0.00997288,0.00997288
8,2115.5,0.6422,0.43912,1.0607,0.97036,0.97142,0.98551,0.88645,0.49564,0.31798,1.018,0.0099631,0.0099631,0.0099631
9,2372.37,0.6232,0.41065,1.0509,0.95111,0.94107,0.97008,0.87909,0.47379,0.38974,1.00124,0.00995183,0.00995183,0.00995183
10,2628.31,0.61084,0.39965,1.04487,0.98378,0.98233,0.99246,0.91317,0.44322,0.25574,0.97906,0.00993906,0.00993906,0.00993906
11,2883.8,0.60282,0.38804,1.04059,0.98771,0.9878,0.99379,0.91591,0.44285,0.23447,0.97782,0.0099248,0.0099248,0.0099248
12,3140.3,0.59808,0.3754,1.03831,0.99085,0.9903,0.99251,0.91029,0.45658,0.23509,0.98821,0.00990905,0.00990905,0.00990905
13,3397.6,0.58656,0.36933,1.03325,0.9761,0.98678,0.99163,0.91754,0.43806,0.26115,0.97964,0.00989183,0.00989183,0.00989183
14,3654.59,0.57925,0.36245,1.03092,0.9918,0.98766,0.99288,0.92334,0.43598,0.24428,0.97512,0.00987313,0.00987313,0.00987313
15,3911.84,0.57609,0.35725,1.02624,0.986,0.98645,0.99393,0.9274,0.42386,0.23298,0.96088,0.00985296,0.00985296,0.00985296
